00000000L,00000000S,00000001L,00000001S,00000011L,00000011S,00000111L,00000111S,00001111L,00001111S,00011111L,00011111S,00111111L,00111111S,01111111L,01111111S,11111111L,11111111S
2940,0,803,0,221,0,34,0,0,0,0,0,0,0,0,0,0,0
2953,0,799,0,214,0,32,0,0,0,0,0,0,0,0,0,0,0
2967,0,792,0,209,0,30,0,0,0,0,0,0,0,0,0,0,0
2981,0,787,0,202,0,28,0,0,0,0,0,0,0,0,0,0,0
2992,0,783,0,197,0,26,0,0,0,0,0,0,0,0,0,0,0
3005,0,778,0,191,0,24,0,0,0,0,0,0,0,0,0,0,0
3020,0,773,0,183,0,22,0,0,0,0,0,0,0,0,0,0,0
3030,0,771,0,177,0,21,0,0,0,0,0,0,0,0,0,0,0
3044,0,762,0,172,0,20,0,0,0,0,0,0,0,0,0,0,0
3053,0,760,0,167,0,19,0,0,0,0,0,0,0,0,0,0,0
3067,0,752,0,162,0,18,0,0,0,0,0,0,0,0,0,0,0
3076,0,748,0,157,0,17,0,0,0,0,0,0,0,0,0,0,0
3086,0,745,0,152,0,16,0,0,0,0,0,0,0,0,0,0,0
3099,0,737,0,147,0,15,0,0,0,0,0,0,0,0,0,0,0
3110,0,731,0,143,0,14,0,0,0,0,0,0,0,0,0,0,0
3123,0,725,0,137,0,13,0,0,0,0,0,0,0,0,0,0,0
3136,0,719,0,131,0,12,0,0,0,0,0,0,0,0,0,0,0
3148,0,712,0,127,0,11,0,0,0,0,0,0,0,0,0,0,0
3162,0,703,0,122,0,10,0,0,0,0,0,0,0,0,0,0,0
3173,0,699,0,117,0,9,0,0,0,0,0,0,0,0,0,0,0
3191,0,687,0,113,0,7,0,0,0,0,0,0,0,0,0,0,0
3200,0,682,0,110,0,6,0,0,0,0,0,0,0,0,0,0,0
3210,0,677,0,106,0,5,0,0,0,0,0,0,0,0,0,0,0
3218,0,673,0,103,0,4,0,0,0,0,0,0,0,0,0,0,0
3233,0,663,0,99,0,3,0,0,0,0,0,0,0,0,0,0,0
3243,0,658,0,95,0,2,0,0,0,0,0,0,0,0,0,0,0
3252,0,653,0,92,0,1,0,0,0,0,0,0,0,0,0,0,0
3265,0,646,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
3274,0,642,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
3284,0,636,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
3292,0,631,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,0,627,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,0,620,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
3321,0,614,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
3330,0,607,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
3338,0,602,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
3343,0,601,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
3351,0,596,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
3360,0,588,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
3370,0,581,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
3377,0,575,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,0,574,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
3392,0,566,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
3398,0,562,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,0,557,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
3411,0,555,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
3420,0,549,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
3425,0,545,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
3428,0,544,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,0,539,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
3446,0,530,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
3452,0,525,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
3457,0,521,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3467,0,513,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
3469,0,512,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
3473,0,509,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
3482,0,503,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
3490,0,496,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
3494,0,492,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3499,0,488,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
3505,0,484,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3508,0,482,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3514,0,478,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3519,0,473,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
